# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file ../../leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # You selected atoms 1 (C12) to 56 (H30)
# Define your second residue: # You selected atoms 370 (N) to 383 (O)
# NetCDF Frame dimension: 830
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1       0.0704      -0.0119       0.0585
            2       0.1244      -0.0110       0.1134
            3       0.1755      -0.0100       0.1655
            4       0.0665      -0.0084       0.0581
            5       0.1206      -0.0080       0.1126
            6       0.0241      -0.0094       0.0147
            7       0.0739      -0.0099       0.0640
            8       0.0574      -0.0081       0.0493
            9       0.0529      -0.0100       0.0429
           10       0.0635      -0.0083       0.0552
           11       0.0494      -0.0066       0.0428
           12       0.0430      -0.0092       0.0338
           13       0.0518      -0.0103       0.0414
           14       0.0660      -0.0090       0.0571
           15      -0.0134      -0.0086      -0.0219
           16       0.0480      -0.0089       0.0391
           17       0.0055      -0.0082      -0.0027
           18       0.0543      -0.0083       0.0461
           19       0.0481      -0.0110       0.0372
           20       0.1497      -0.0077       0.1420
           21       0.1693      -0.0083       0.1609
           22       0.1079      -0.0080       0.0998
           23       0.0519      -0.0081       0.0437
           24       0.0608      -0.0116       0.0492
           25       0.1846      -0.0098       0.1749
           26       0.1203      -0.0105       0.1098
           27       0.0559      -0.0063       0.0496
           28       0.0655      -0.0078       0.0577
           29       0.1099      -0.0093       0.1006
           30       0.1528      -0.0124       0.1404
           31       0.0896      -0.0120       0.0776
           32       0.1215      -0.0082       0.1133
           33       0.0771      -0.0060       0.0711
           34       0.1191      -0.0061       0.1131
           35       0.0589      -0.0089       0.0500
           36       0.0847      -0.0095       0.0752
           37       0.0825      -0.0079       0.0746
           38       0.1111      -0.0077       0.1034
           39       0.1775      -0.0127       0.1648
           40       0.1224      -0.0082       0.1142
           41       0.0338      -0.0100       0.0238
           42       0.0366      -0.0085       0.0281
           43       0.0910      -0.0089       0.0821
           44       0.0211      -0.0085       0.0125
           45      -0.0066      -0.0069      -0.0136
           46       0.0674      -0.0111       0.0562
