# Reading prmtop information...
#%VERSION  VERSION_STAMP = V0001.000  DATE = 02/28/23  16:45:01                  
# N: 49207 Ntypes: 26 Nres: 15294 NPH: 1 NNB:83567
# There is a cubic periodic box. IFBOX = 1.
# Prmtop file PDBs/leap/COL/MR-COL.prmtop read successfully!
#
# Define the format of the trajectory file: 
#
# 	 1) AMBER MDCRD FILE
# 	 2) GZIPPED AMBER MDCRD FILE
# 	 3) NETCDF FORMAT FILE
# 	 4) CHARMM DCD FORMAT FILE
#
# Enter your choice number: #
# Choose your option for energy calculations:
#
# 	 1) Ligand - Protein interaction calculations
# 	 2) Ligand - Environment interaction calculations
# 	 3) Ligand - Solvent interaction calculations
# 	 4) Selection - Selection interaction calculations
# 	 5) Protein Internal Energy Calculations
# 	 6) Multiple Selection - Multiple Selection Calculations
# 	 7) Multiple Selection - Multiple Selection w/ Chuncks Calculations
#
# Enter your choice number: # Define your ligand residue number: # Protein last residue number: 258
# You selected atom 57 (N) to 4261 (OXT)
# And atom 1 (C12) to 56 (H30).
# NetCDF Frame dimension: 301
# NetCDF number of atoms: 49207
#        Step         Elec          VDW        Total
            1     -39.2996     -53.8404     -93.1400
            2     -29.4240     -54.1424     -83.5664
            3     -34.4918     -56.7639     -91.2558
            4     -36.0606     -54.6656     -90.7262
            5     -39.5412     -50.1413     -89.6824
            6     -38.7684     -50.3908     -89.1592
            7     -32.4998     -54.1543     -86.6540
            8     -43.3170     -48.4203     -91.7374
            9     -34.7685     -55.8433     -90.6118
           10     -31.6329     -54.0782     -85.7111
           11     -33.6615     -55.3755     -89.0370
           12     -33.4642     -53.2350     -86.6992
           13     -38.3563     -50.4725     -88.8288
           14     -41.6596     -53.0794     -94.7389
           15     -38.8353     -50.3557     -89.1910
           16     -39.5537     -54.6533     -94.2070
           17     -42.0589     -51.3550     -93.4138
           18     -33.3997     -51.6163     -85.0160
           19     -36.6011     -50.1784     -86.7796
           20     -33.0194     -53.6966     -86.7160
           21     -33.0173     -55.5865     -88.6038
           22     -23.1497     -56.1968     -79.3466
           23     -31.1309     -55.7699     -86.9008
           24     -33.5031     -53.4471     -86.9501
           25     -30.8262     -51.9211     -82.7474
           26     -32.8391     -52.1099     -84.9491
           27     -32.0728     -55.6748     -87.7477
           28     -33.2101     -52.6316     -85.8417
           29     -32.5753     -53.6378     -86.2132
           30     -30.6134     -60.4742     -91.0876
           31     -32.7474     -55.2946     -88.0419
           32     -31.5634     -54.7744     -86.3379
           33     -34.4984     -56.3210     -90.8193
           34     -41.9685     -52.1488     -94.1173
           35     -27.9945     -55.9740     -83.9686
           36     -35.3300     -54.2489     -89.5790
           37     -34.2366     -49.1289     -83.3655
           38     -31.9562     -49.5295     -81.4857
           39     -29.5591     -54.4314     -83.9905
           40     -36.9116     -52.3320     -89.2437
           41     -34.5297     -51.2264     -85.7560
           42     -42.2152     -55.6183     -97.8335
           43     -35.4027     -51.7808     -87.1835
           44     -28.7500     -53.9698     -82.7198
           45     -34.0888     -53.0885     -87.1773
           46     -33.7609     -56.1499     -89.9108
           47     -36.4063     -55.9277     -92.3340
           48     -30.6258     -51.2331     -81.8590
           49     -38.7830     -54.0111     -92.7941
           50     -28.6862     -51.7515     -80.4377
           51     -37.5175     -50.7750     -88.2925
           52     -26.6770     -54.9291     -81.6061
           53     -33.0907     -50.6781     -83.7688
           54     -35.7891     -52.0215     -87.8107
           55     -40.7535     -46.9811     -87.7346
           56     -31.5835     -52.3453     -83.9288
           57     -37.9998     -49.5071     -87.5070
           58     -35.3535     -55.6847     -91.0382
           59     -32.9042     -52.8739     -85.7780
           60     -34.5501     -52.0531     -86.6031
           61     -33.4741     -53.9504     -87.4245
           62     -36.1108     -51.7476     -87.8584
           63     -34.0698     -56.5953     -90.6651
           64     -37.7273     -55.2577     -92.9850
           65     -35.5289     -45.6184     -81.1473
           66     -38.1311     -51.8255     -89.9567
           67     -44.4920     -49.3610     -93.8530
           68     -45.8988     -45.8237     -91.7224
           69     -41.2594     -47.4229     -88.6824
           70     -43.2833     -49.6005     -92.8838
           71     -37.3563     -50.8246     -88.1810
           72     -41.0072     -53.3824     -94.3896
           73     -42.3402     -48.7637     -91.1038
           74     -41.7835     -49.6505     -91.4340
           75     -35.7645     -52.5206     -88.2852
           76     -44.1808     -49.9077     -94.0886
           77     -42.7764     -52.2575     -95.0339
           78     -42.4560     -55.1191     -97.5752
           79     -46.2778     -46.5348     -92.8126
           80     -28.4596     -52.6322     -81.0918
           81     -41.7669     -47.2397     -89.0066
           82     -41.4252     -55.1406     -96.5658
           83     -34.0889     -53.7350     -87.8238
           84     -31.4913     -48.1314     -79.6227
           85     -35.0782     -50.9126     -85.9908
           86     -37.0251     -49.0403     -86.0654
           87     -41.1614     -49.7809     -90.9423
           88     -26.0223     -55.0133     -81.0356
           89     -27.9473     -54.7640     -82.7113
           90     -33.7278     -54.0608     -87.7886
           91     -38.2427     -52.6897     -90.9324
           92     -28.6862     -53.3696     -82.0558
           93     -33.5351     -55.7766     -89.3117
           94     -25.8047     -56.0140     -81.8187
           95     -35.8137     -49.6837     -85.4975
           96     -30.7152     -50.9866     -81.7018
           97     -32.3258     -54.9192     -87.2450
           98     -33.9494     -52.4797     -86.4291
           99     -34.2613     -47.9528     -82.2140
          100     -33.9486     -53.3828     -87.3314
          101     -26.0172     -52.0494     -78.0666
          102     -28.5538     -54.8227     -83.3765
          103     -26.5948     -52.4814     -79.0762
          104     -29.1943     -51.9855     -81.1799
          105     -34.6910     -50.7266     -85.4176
          106     -30.8822     -54.4718     -85.3540
          107     -29.4178     -52.5935     -82.0113
          108     -35.5463     -46.0986     -81.6448
          109     -33.8624     -52.9900     -86.8524
          110     -30.3067     -54.5809     -84.8875
          111     -30.8871     -51.7846     -82.6717
          112     -29.2896     -53.7906     -83.0801
          113     -28.4987     -50.7779     -79.2766
          114     -36.2126     -51.6921     -87.9047
          115     -34.1526     -51.1508     -85.3034
          116     -33.0718     -51.3853     -84.4571
          117     -30.7581     -48.0096     -78.7677
          118     -31.9540     -53.5795     -85.5335
          119     -25.2804     -50.0501     -75.3305
          120     -34.2016     -52.3206     -86.5222
          121     -33.5516     -48.5340     -82.0856
